order_id,product_name,sales
CA-2014-145317,"Cisco TelePresence System EX90 Videoconferencing Unit",22638.48
CA-2016-118689,"Canon imageCLASS 2200 Advanced Copier",17499.95
CA-2017-140151,"Canon imageCLASS 2200 Advanced Copier",13999.96
CA-2017-127180,"Canon imageCLASS 2200 Advanced Copier",11199.97
CA-2017-166709,"Canon imageCLASS 2200 Advanced Copier",10499.97
CA-2016-117121,"GBC Ibimaster 500 Manual ProClick Binding System",9892.74
CA-2014-116904,"Ibico EPK-21 Electric Binding System",9449.95
US-2016-107440,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93
CA-2016-158841,"HP Designjet T520 Inkjet Large Format Printer - 24" Color",8749.95
CA-2016-143714,"Canon imageCLASS 2200 Advanced Copier",8399.98
